date,BlancoArtesian Zonetmean,BlancoContributing Zonetmean,BlancoRecharge Zonetmean,CiboloArtesian Zonetmean,CiboloContributing Zonetmean,CiboloRecharge Zonetmean,FrioArtesian Zonetmean,FrioContributing Zonetmean,FrioRecharge Zonetmean,GuadArtesian Zonetmean,GuadContributing Zonetmean,GuadRecharge Zonetmean,MedCibArtesian Zonetmean,MedCibContributing Zonetmean,MedCibRecharge Zonetmean,MedinaArtesian Zonetmean,MedinaContributing Zonetmean,MedinaRecharge Zonetmean,NuecesArtesian Zonetmean,NuecesContributing Zonetmean,NuecesRecharge Zonetmean,SabMedArtesian Zonetmean,SabMedContributing Zonetmean,SabMedRecharge Zonetmean,SabinalArtesian Zonetmean,SabinalContributing Zonetmean,SabinalRecharge Zonetmean
1895-01-01,10.28361177444458,9.411881188733862,10.083050560951232,10.551647522870232,9.501549808072372,10.094543933868408,10.909308360173153,8.665320391654967,9.72670503096147,10.314600372314453,8.44249150761506,9.93476966711191,11.016643353870936,10.145961256588206,10.498229602972666,10.963231306809645,8.86762361250062,10.647065008840253,10.938548949456983,9.027763257384771,10.40924705871164,10.78475054105123,9.234979609648386,10.380630139951352,10.672562897205353,8.897519643490131,9.856917023658752
1895-02-01,6.314111391703288,5.526633288882194,6.139850282669068,6.63635326834286,5.575803091828252,6.166065506313158,7.865692578829252,6.639420332908631,7.292477596889842,6.494400215148926,5.17696109615611,6.1025387323819675,6.858107515743801,6.057098313873889,6.392729481061299,6.8756926243121805,5.553246650142946,6.661613233627811,7.877645584844774,6.536937072814218,7.56868529646364,7.089041988054912,6.097771137952805,6.815074390835232,7.404187858104706,6.416500302461477,7.02408367395401
1895-03-01,16.058500554826523,15.133982395907061,15.788075709342957,16.047059451832492,14.933564051775866,15.5226963084677,16.33892396780161,14.552390699386597,15.398455273021352,15.92800064086914,14.391135904712609,15.496077647575966,16.155822140829905,15.342687008427639,15.688896536827087,15.997385318462666,14.558420989824379,15.725581353710544,16.697387879894627,15.20271216456598,16.250850167992997,15.95400067170461,14.851292451222738,15.652741432189941,16.077000737190247,14.574404533092792,15.422042290369669
1895-04-01,20.87783432006836,19.736936674205534,20.55090093612671,20.29217753690832,19.384944566538636,19.8918923502383,21.342077842125526,20.005470848083498,20.745160146193072,20.30200080871582,18.979744629503568,19.976616272559532,20.470429488590785,19.728667651905734,20.054250995318096,20.362847108107346,19.25566037495931,20.187904234855406,21.5713559427569,20.183858743298195,21.238398434364633,20.553084135055542,19.83266766866048,20.37966749403212,20.955750942230225,19.903808630429783,20.6155842145284
1895-05-01,22.082723511589897,21.27603770614764,21.814226055145262,22.081412820255053,21.13197283677652,21.646827117256496,23.109616352961613,21.6712908744812,22.433909936384723,21.949800872802733,20.826716297461893,21.574270321772648,22.205001013619558,21.428589315975415,21.769959410031635,22.108770223764274,21.082899466804836,21.922420378654234,23.338775388656124,21.865914077155676,22.948275134988027,22.33404286702474,21.56214678287506,22.082334377147532,22.698750853538513,21.638885424687313,22.32075087229411
1895-06-01,26.11505677964952,25.34334063748701,25.8282262802124,25.896471921135397,25.155057423551316,25.54469689078953,26.85438610957219,25.4686212348938,26.18175116452304,25.733800888061523,24.939876603910506,25.457731907184307,26.212501321520126,25.460511039285098,25.780959606170654,26.1820011138916,25.112899835558906,25.95413023425687,27.066775475778886,25.69846766174075,26.722001350089297,26.3100430170695,25.474730412165325,26.05118645562066,26.505126237869263,25.49573194063627,26.118709484736126
1895-07-01,28.479445669386124,27.773414209348346,28.24905128479004,28.381413179285385,27.583043487978653,28.044783965401027,28.42823204627404,26.570701293945312,27.50679688020186,28.287401580810545,26.99458843787794,27.99911667750432,28.627108642033168,27.849432702158012,28.190959731737774,28.351078326885517,27.04905198967975,28.108936802033455,28.683420673493416,27.11117131531003,28.24353562969051,28.19958472251892,27.236167867978413,27.95889020849157,28.239939212799072,26.828558958493748,27.62491814295451
1895-08-01,28.74083466000027,28.022900397624444,28.52190136909485,28.57141315235811,27.84736759561888,28.261914419091266,29.608924572284405,28.214531440734863,28.92986501346935,28.425801849365236,27.656812762874726,28.219347586998573,28.900144032069615,28.185079649382946,28.490522066752117,28.906232100266678,27.909986910612687,28.701065924859815,29.89006596226846,28.801112050595492,29.587535675257854,29.093501408894856,28.322105566660564,28.843964329472296,29.25775158405304,28.292636064382698,28.820918083190918
1895-09-01,26.82427914937337,25.92655169635738,26.544476222991943,26.59758960499483,25.75862089345153,26.241783929907758,27.356462772075947,25.974171180725097,26.723751284859397,26.51320114135742,25.254634680697077,26.209462899428146,26.836715630122594,26.134883544024298,26.442980408668518,26.687616641704853,25.4731968589451,26.48745278389223,27.600936889648438,26.30466921810105,27.285631493346333,26.799251317977905,25.863501350084942,26.543705057214808,27.009063482284546,25.911385866311882,26.58445954322815
1895-10-01,19.076778623792862,18.12885403414385,18.807150840759277,18.979883193969727,18.105465660632497,18.625044325123664,19.6349243750939,17.897220802307128,18.80993275208907,18.828200912475587,17.31852038644811,18.50361625964825,19.467893872942245,18.68180491877537,19.019771814346313,19.34553938645583,17.619645754496258,19.043871910341323,19.744226701797977,18.10832105794914,19.32749405952349,19.265375932057697,17.95985500017802,18.90237122994882,19.348500847816467,17.88063544493455,18.75941761334737
