date,BlancoArtesian Zonetmax,BlancoContributing Zonetmax,BlancoRecharge Zonetmax,CiboloArtesian Zonetmax,CiboloContributing Zonetmax,CiboloRecharge Zonetmax,FrioArtesian Zonetmax,FrioContributing Zonetmax,FrioRecharge Zonetmax,GuadArtesian Zonetmax,GuadContributing Zonetmax,GuadRecharge Zonetmax,MedCibArtesian Zonetmax,MedCibContributing Zonetmax,MedCibRecharge Zonetmax,MedinaArtesian Zonetmax,MedinaContributing Zonetmax,MedinaRecharge Zonetmax,NuecesArtesian Zonetmax,NuecesContributing Zonetmax,NuecesRecharge Zonetmax,SabMedArtesian Zonetmax,SabMedContributing Zonetmax,SabMedRecharge Zonetmax,SabinalArtesian Zonetmax,SabinalContributing Zonetmax,SabinalRecharge Zonetmax
1895-01-01,16.26300048828125,16.26300048828125,16.26300048828125,16.732999801635742,16.458000183105472,16.732999801635742,18.249000549316406,17.215999603271484,17.98200035095215,16.357999801635742,16.22800064086914,16.357999801635742,17.615999221801758,17.347999572753903,17.582000732421875,17.832000732421875,17.507999420166016,17.832000732421875,18.131000518798828,17.65999984741211,17.951000213623047,18.1560001373291,17.450000762939453,17.96299934387207,18.31999969482422,17.326000213623047,17.760000228881836
1895-02-01,11.824000358581545,11.732999801635742,11.824000358581545,12.225000381469727,11.95300006866455,12.225000381469727,14.416999816894533,13.722000122070312,14.229999542236328,11.90999984741211,11.82699966430664,11.90999984741211,13.026000022888185,12.730999946594238,13.026000022888185,13.34000015258789,13.085000038146973,13.34000015258789,14.498000144958494,14.003000259399414,14.437000274658205,13.803000450134276,13.57699966430664,13.630999565124512,14.133999824523926,13.604000091552734,13.916000366210938
1895-03-01,22.18099975585937,22.18099975585937,22.18099975585937,22.218000411987305,22.05500030517578,22.218000411987305,23.459999084472656,22.517000198364254,23.256000518798828,22.218000411987305,22.08799934387207,22.218000411987305,22.559999465942386,22.267000198364254,22.40900039672852,22.582000732421875,22.39299964904785,22.582000732421875,23.71500015258789,23.38500022888184,23.71500015258789,22.9689998626709,22.57200050354004,22.78499984741211,23.315000534057614,22.52300071716309,22.95599937438965
1895-04-01,27.577999114990234,27.577999114990234,27.577999114990234,27.042999267578125,26.888999938964844,27.042999267578125,28.5310001373291,27.77700042724609,28.381999969482425,27.000999450683594,27.000999450683594,27.000999450683594,27.565000534057614,27.417999267578125,27.48200035095215,27.618999481201172,27.492000579833984,27.618999481201172,28.819000244140625,28.558000564575195,28.819000244140625,27.917999267578125,27.75300025939941,27.839000701904297,28.22800064086914,27.82200050354004,28.22800064086914
1895-05-01,27.288000106811523,27.28199958801269,27.28199958801269,27.117000579833984,26.94300079345703,27.117000579833984,28.645000457763672,27.631000518798828,28.464000701904297,26.84900093078613,26.976999282836914,26.84900093078613,27.663000106811523,27.4950008392334,27.4950008392334,27.65900039672852,27.423999786376953,27.65900039672852,28.8700008392334,28.465999603271484,28.82099914550781,27.981000900268555,27.617000579833984,27.80699920654297,28.34700012207031,27.61599922180176,28.132999420166016
1895-06-01,30.99600028991699,30.94499969482422,30.94499969482422,30.606000900268555,30.559999465942386,30.606000900268555,32.062000274658196,31.113000869750977,31.881999969482425,30.238000869750977,30.60400009155273,30.47900009155273,31.256999969482425,31.15099906921387,31.15099906921387,31.28899955749512,30.99600028991699,31.28899955749512,32.299999237060554,31.97800064086914,32.27199935913086,31.53199958801269,31.13400077819824,31.4060001373291,31.790000915527344,31.15900039672852,31.64699935913086
1895-07-01,34.85699844360352,34.85699844360352,34.85699844360352,34.10699844360352,34.097999572753906,34.10699844360352,35.020999908447266,34.011001586914055,34.807998657226555,33.970001220703125,34.16699981689453,34.01599884033203,34.738998413085945,34.47100067138672,34.47100067138672,34.638999938964844,34.339000701904304,34.638999938964844,35.23300170898437,34.74700164794922,35.05199813842773,34.76900100708008,34.20399856567383,34.55500030517578,34.97499847412109,34.125,34.57199859619141
1895-08-01,35.160999298095696,35.138999938964844,35.138999938964844,34.55099868774414,34.573001861572266,34.55099868774414,35.55599975585937,34.391998291015625,35.345001220703125,34.525001525878906,34.60400009155273,34.525001525878906,35.117000579833984,34.98099899291992,35.117000579833984,35.26499938964844,34.965999603271484,35.26499938964844,35.8489990234375,35.8849983215332,35.834999084472656,35.45899963378906,34.98400115966797,35.21900177001953,35.57500076293945,34.70399856567383,35.20399856567383
1895-09-01,32.65800094604492,32.62099838256836,32.62099838256836,31.940000534057614,31.916000366210934,31.940000534057614,32.63399887084961,32.12200164794922,32.597999572753906,31.93199920654297,31.923999786376953,31.93199920654297,32.429000854492195,32.21200180053711,32.240001678466804,32.10900115966797,32.05899810791016,32.112998962402344,32.93199920654297,32.69499969482422,32.93199920654297,32.30599975585937,32.20600128173828,32.25899887084961,32.54600143432617,32.18000030517578,32.48099899291992
1895-10-01,25.899999618530273,25.87700080871582,25.87700080871582,25.697999954223636,25.5939998626709,25.697999954223636,27.32900047302246,27.0939998626709,27.21999931335449,25.22200012207031,25.52199935913086,25.50200080871582,26.58799934387207,26.42499923706055,26.493999481201172,26.649999618530273,26.327999114990234,26.649999618530273,27.49600028991699,27.10300064086914,27.36599922180176,26.94599914550781,26.65699958801269,26.732999801635746,27.166000366210934,26.71199989318848,27.03000068664551
