date,BlancoArtesian Zonetmin,BlancoContributing Zonetmin,BlancoRecharge Zonetmin,CiboloArtesian Zonetmin,CiboloContributing Zonetmin,CiboloRecharge Zonetmin,FrioArtesian Zonetmin,FrioContributing Zonetmin,FrioRecharge Zonetmin,GuadArtesian Zonetmin,GuadContributing Zonetmin,GuadRecharge Zonetmin,MedCibArtesian Zonetmin,MedCibContributing Zonetmin,MedCibRecharge Zonetmin,MedinaArtesian Zonetmin,MedinaContributing Zonetmin,MedinaRecharge Zonetmin,NuecesArtesian Zonetmin,NuecesContributing Zonetmin,NuecesRecharge Zonetmin,SabMedArtesian Zonetmin,SabMedContributing Zonetmin,SabMedRecharge Zonetmin,SabinalArtesian Zonetmin,SabinalContributing Zonetmin,SabinalRecharge Zonetmin
1895-01-01,4.171999931335448,0.9490000009536744,3.5690000057220463,4.364999771118163,0.8009999990463257,2.9570000171661377,3.4809999465942383,0.6620000004768372,1.2699999809265137,4.308000087738037,0.0,3.200999975204468,4.026999950408936,2.134000062942505,2.9570000171661377,3.756999969482422,0.0,2.555999994277954,3.3529999256134038,1.0520000457763672,1.9259999990463257,2.374000072479248,0.0,2.3329999446868896,2.374000072479248,0.0,1.2699999809265137
1895-02-01,0.8619999885559082,0.0,0.3420000076293945,1.0119999647140503,0.0,0.0,1.0729999542236328,0.0,0.11500000208616255,1.116000056266785,0.0,0.0,0.2280000001192093,0.0,0.0,0.2430000007152557,0.0,0.0,1.008999943733215,0.0,0.699999988079071,0.20399999618530276,0.0,0.0,0.20399999618530276,0.0,0.0
1895-03-01,9.678000450134276,7.374000072479247,9.133000373840332,9.699000358581543,6.9130001068115225,8.321999549865723,9.19499969482422,7.0809998512268075,7.375,9.668999671936037,6.105999946594237,8.569000244140625,9.175000190734863,7.535999774932861,8.321999549865723,9.14799976348877,6.178999900817871,8.118000030517576,9.418999671936037,7.367000102996826,8.03600025177002,8.244999885559082,6.178999900817871,8.118000030517576,8.244999885559082,6.178999900817871,7.298999786376952
1895-04-01,13.87600040435791,11.270000457763672,13.291000366210938,13.373000144958494,10.881999969482422,11.904999732971193,14.03499984741211,12.067999839782715,13.123000144958494,13.637999534606935,10.494000434875488,12.435999870300293,12.67300033569336,11.095999717712402,11.904999732971193,12.744999885559082,10.727999687194824,12.282999992370605,13.9399995803833,12.46399974822998,13.704000473022461,13.121999740600586,11.484000205993652,12.282999992370605,13.121999740600586,11.484000205993652,12.795000076293945
1895-05-01,16.889999389648438,15.170000076293945,16.29800033569336,17.004999160766598,14.670000076293945,15.52299976348877,17.440000534057614,15.840999603271484,16.795000076293945,17.024999618530273,14.774999618530273,15.98900032043457,16.07200050354004,14.755999565124512,15.52299976348877,16.22800064086914,14.670000076293945,15.89799976348877,17.709999084472656,16.00200080871582,17.09000015258789,16.68899917602539,15.335000038146973,15.989999771118164,16.827999114990234,15.258000373840332,16.493000030517578
1895-06-01,21.128000259399414,19.56100082397461,20.5939998626709,21.209999084472656,19.32699966430664,20.048999786376953,21.57900047302246,20.15900039672852,20.996000289916992,21.191999435424805,19.347999572753906,20.24399948120117,20.51300048828125,19.36400032043457,20.03199958801269,20.74399948120117,19.32699966430664,20.3700008392334,21.79199981689453,20.00200080871582,21.19599914550781,21.0629997253418,19.77899932861328,20.458999633789066,21.0629997253418,19.68199920654297,20.63400077819824
1895-07-01,22.263999938964844,20.7810001373291,21.89900016784668,22.617000579833984,20.572999954223636,21.3439998626709,21.94300079345703,20.215999603271484,20.323999404907227,22.590999603271484,20.059999465942386,21.648000717163086,21.84499931335449,20.60700035095215,21.33099937438965,21.9379997253418,19.958999633789066,21.202999114990234,22.13500022888184,20.246000289916992,20.8439998626709,21.25,19.958999633789066,21.202999114990234,21.25,19.958999633789066,20.398000717163086
1895-08-01,22.243000030517575,20.840999603271484,21.798999786376953,22.368000030517575,20.420000076293945,21.391000747680664,23.452999114990234,22.44499969482422,22.90399932861328,22.34499931335449,20.673999786376953,21.44499969482422,21.9950008392334,20.625,21.391000747680664,22.18400001525879,20.420000076293945,21.827999114990234,23.812000274658203,22.05299949645996,23.18600082397461,22.67200088500977,21.7450008392334,22.049999237060547,22.964000701904297,21.940000534057614,22.40900039672852
1895-09-01,20.94599914550781,18.99099922180176,20.37299919128418,21.179000854492188,18.70199966430664,19.898000717163086,21.707000732421875,20.00900077819824,20.655000686645508,21.121000289916992,18.38400077819824,20.042999267578125,20.697999954223636,19.118000030517575,19.898000717163086,20.89699935913086,18.583999633789066,20.31599998474121,22.07999992370605,20.415000915527344,21.25200080871582,20.902999877929688,18.951000213623047,20.31599998474121,20.902999877929688,18.951000213623047,20.19300079345703
1895-10-01,12.267999649047852,9.526000022888184,11.699000358581545,12.352999687194824,9.107000350952148,10.82699966430664,11.737000465393065,9.269000053405762,9.793999671936037,12.44499969482422,7.927000045776367,11.279999732971193,11.890999794006348,10.102999687194824,10.82699966430664,11.8100004196167,8.14900016784668,10.62399959564209,12.029000282287598,9.432000160217283,10.515999794006348,10.708000183105467,8.319999694824219,10.519000053405762,10.708000183105467,8.319999694824219,9.760000228881836
1895-11-01,7.5440001487731925,4.318999767303467,7.0440001487731925,7.810999870300293,4.059000015258788,5.9790000915527335,6.5440001487731925,3.367000102996826,4.260000228881837,7.8959999084472665,1.9670000076293943,6.629000186920166,6.926000118255615,5.11899995803833,5.9790000915527335,6.807000160217285,2.48799991607666,5.539999961853027,6.335000038146973,3.614000082015991,4.7839999198913565,5.546999931335449,2.8010001182556152,5.336999893188477,5.546999931335449,2.8010001182556152,4.260000228881837
