date,BlancoArtesian Zoneppt,BlancoContributing Zoneppt,BlancoRecharge Zoneppt,CiboloArtesian Zoneppt,CiboloContributing Zoneppt,CiboloRecharge Zoneppt,FrioArtesian Zoneppt,FrioContributing Zoneppt,FrioRecharge Zoneppt,GuadArtesian Zoneppt,GuadContributing Zoneppt,GuadRecharge Zoneppt,MedCibArtesian Zoneppt,MedCibContributing Zoneppt,MedCibRecharge Zoneppt,MedinaArtesian Zoneppt,MedinaContributing Zoneppt,MedinaRecharge Zoneppt,NuecesArtesian Zoneppt,NuecesContributing Zoneppt,NuecesRecharge Zoneppt,SabMedArtesian Zoneppt,SabMedContributing Zoneppt,SabMedRecharge Zoneppt,SabinalArtesian Zoneppt,SabinalContributing Zoneppt,SabinalRecharge Zoneppt
1895-01-01,35.54527812533908,35.99393576875739,36.97184991836548,33.4759999443503,34.93892949064013,34.43593481312627,24.387769258939304,27.129600086212157,26.049159093336627,35.45060043334961,31.854064038639816,36.732576663677506,32.54149995531355,33.622019936056695,33.32256273428599,29.731615506685696,31.72199285203132,30.349193634525424,22.03954832015499,22.954549374787703,22.798369838766856,27.442291736602783,29.758187572161358,28.549185152407045,25.195500135421753,28.963000077467697,26.8094584941864
1895-02-01,65.64644453260634,65.27622950842621,65.75485019683838,72.45511851591222,72.23019742294096,72.14180490244989,56.49753863994892,52.819710121154785,54.46809118444269,69.63780212402344,62.69110678947693,69.33757811326247,73.58232116699219,72.7577059876685,72.9498332341512,67.46092341496394,63.48009430152783,67.22903245495212,50.99212929510301,47.482972246856086,50.56020559023504,62.25904146830241,60.367729028066,62.10470354998553,58.514562368392944,56.322750311631424,57.07275025049845
1895-03-01,28.646444426642525,36.62495387366059,33.49837489128113,38.608412125531366,43.38340861360792,41.87989151996115,16.388153883127067,18.071470022201538,19.821090936660767,33.14199981689453,31.971483960270458,39.573961404653694,40.821857179914204,43.04674507589901,42.305979331334434,32.001615671011116,36.39024621161862,34.00300019787204,10.516322651217061,8.107557323139176,11.020493190582485,26.311333417892456,36.70435404777527,31.35355567932129,18.696312487125397,27.681730783902683,23.397250016530354
1895-04-01,47.460166719224716,44.68033939326575,46.65727500915527,29.632058760699103,32.98392954007001,31.326521666153617,31.596846213707558,38.32888996124267,34.47495460510254,39.25959930419922,38.687366458444835,39.16369188748873,23.673499992915563,28.516353083591834,26.771833419799805,30.349922913771408,35.68676807569421,31.10251598973428,30.401516022220736,33.026474217652336,31.355766975716367,31.483750025431316,35.516124844551086,32.74707391526964,29.525062084197998,37.57644227834848,32.880833307902016
1895-05-01,134.2257783677843,129.9859538647013,133.24050064086913,140.08135088752297,134.5980138644366,137.77895554252294,120.22177006648137,116.12274032592774,117.63327286460184,137.927001953125,125.15550538738427,135.8072703434871,140.41121401105607,137.0040770885991,138.55464458465576,133.3055384709285,125.93548539756002,132.69780608146422,112.37061260592553,109.465043652199,112.13046567733974,127.4214989344279,124.20483287175496,127.03503446225767,122.23181295394897,119.01165390014648,120.56991704305013
1895-06-01,128.32094489203558,128.25818340056534,133.3042007446289,124.96158779368682,120.41471809064838,124.73021697998047,79.69907731276292,105.95027008056641,93.82015939192338,146.31620178222656,110.43641624586438,136.3273071875939,104.0089282989502,112.06817731670304,110.91737540562947,98.82915438138522,103.60335518657297,99.59625859414378,73.98074242376512,81.88954524466172,78.54783557212517,83.5148754119873,96.44054158528645,88.70837119773581,84.29387521743774,101.15311519916241,91.06637477874756
1895-07-01,35.2874444325765,59.392550564687184,44.84545001983643,44.89829433665556,70.3936763817156,51.938435015471086,40.72530805147611,48.08469009399414,49.584750175476074,41.92679977416992,68.02085771933993,52.4936156639686,63.02235753195627,70.19945107254327,64.6659791469574,48.85553917518029,69.9076954661936,58.10361345352665,49.52783867620653,48.43285369873047,47.8539998302721,48.72216669718424,75.71508264541626,61.421444221779154,41.0608127117157,58.98548096876878,55.9307918548584
1895-08-01,54.2744443681505,59.71281653587971,54.87864999771118,52.713411667767694,64.21584502744003,56.32950003250785,109.13069270207332,125.1452500152588,119.47090929204768,54.83659973144531,85.55032028252543,55.09434626652644,55.581285749162944,61.81341193704044,58.26787503560384,77.50946132953351,95.04150738923445,79.46593487647272,108.19941908313382,115.61373901367188,112.2270822394384,98.62649981180827,105.98429171244304,99.52933332655165,106.79956340789795,119.07950034508339,114.96000003814697
1895-09-01,23.5839999516805,21.767403663845236,23.898199939727782,20.906058928545782,23.066985949664048,21.314413112142812,15.650538444519043,24.941319942474365,22.173090783032503,22.918800354003906,22.270512455298807,22.598769187927246,22.76303584235055,23.166902130725337,22.564416805903118,21.257846245398888,24.322333349697832,22.27451619794292,13.598806381225586,20.273881373198137,17.23086293102944,20.05995837847392,23.366604328155518,21.32040744357639,17.109812557697296,26.589788583608772,22.07849995295207
1895-10-01,54.71677822536893,58.94386260006406,56.21385021209717,51.60258798038258,54.85911269926689,53.00963028617527,61.749461540809044,62.9311601638794,62.19731825048273,56.0197998046875,60.38288249494342,56.66696152320275,48.37925025394985,51.60058825623755,50.31583325068156,51.20369250957783,57.69944929039997,52.151258160991055,62.60977431266539,63.38726879014328,62.97320561866238,54.68908373514811,58.69556220372518,56.01914808485243,59.19237518310547,61.71642303466797,61.54083331425985
